Операция: умножение, Число: 12,00, Результат: 1440,00
Операция: умножение, Число: 2022,00, Результат: 246684,00 (DEC: 246684, BIN: 111100001110011100, OCT: 741634, HEX: 3C39C)
Операция: сложение, Число: 16,00, Результат: 116,00 (BIN: 1110100, OCT: 164, DEC: 116, HEX: 74)
Операция: сложение, Число: 702,00, Результат: 785,00 (BIN: 1100010001, OCT: 1421, DEC: 785, HEX: 311)
Операция: вычитание, Число: 87,00, Результат: 698,00 (BIN: 1010111010, OCT: 1272, DEC: 698, HEX: 2BA)
Операция: сложение, Число: 1034,00, Результат: 1171,00 (BIN: 10010010011, OCT: 2223, DEC: 1171, HEX: 493)
Операция: сложение, Число: 138,00, Результат: 1163,00 (BIN: 10010001011, OCT: 2213, DEC: 1163, HEX: 48B)
Операция: сложение, Число: 10,00, Результат: 1173,00 (BIN: 10010010101, OCT: 2225, DEC: 1173, HEX: 495)
Операция: вычитание, Число: 179446300,00, Результат: -179446113,00 (BIN: 11110101010011011101111010011111, OCT: 36523357237, DEC: -179446113, HEX: F54DDE9F)
Операция: сложение, Число: 768955,00, Результат: 303943132,00 (BIN: 10010000111011100110111011100, OCT: 2207346734, DEC: 303943132, HEX: 121DCDDC)
Операция: сложение, Число: 1000,00, Результат: 2000,00 (BIN: 11111010000, OCT: 3720, DEC: 2000, HEX: 7D0)
Операция: деление, Число: 20,00, Результат: 100,00 (BIN: 1100100, OCT: 144, DEC: 100, HEX: 64)
Операция: сложение, Число: 19,00, Результат: 119,00 (BIN: 1110111, OCT: 167, DEC: 119, HEX: 77)
Операция: сложение, Число: 1,00, Результат: 9,00 (BIN: 1001, OCT: 11, DEC: 9, HEX: 9)
Операция: сложение, Число: 1,00, Результат: 10,00 (BIN: 1010, OCT: 12, DEC: 10, HEX: A)
Операция: сложение, Число: 1,00, Результат: 11,00 (BIN: 1011, OCT: 13, DEC: 11, HEX: B)
Операция: сложение, Число: 1,00, Результат: 12,00 (BIN: 1100, OCT: 14, DEC: 12, HEX: C)
Операция: сложение, Число: 1,00, Результат: 13,00 (BIN: 1101, OCT: 15, DEC: 13, HEX: D)
Операция: сложение, Число: 1,00, Результат: 14,00 (BIN: 1110, OCT: 16, DEC: 14, HEX: E)
Операция: сложение, Число: 1,00, Результат: 15,00 (BIN: 1111, OCT: 17, DEC: 15, HEX: F)
Операция: вычитание, Число: 1,00, Результат: 14,00 (BIN: 1110, OCT: 16, DEC: 14, HEX: E)
Операция: вычитание, Число: 1,00, Результат: 13,00 (BIN: 1101, OCT: 15, DEC: 13, HEX: D)
Операция: вычитание, Число: 1,00, Результат: 12,00 (BIN: 1100, OCT: 14, DEC: 12, HEX: C)
Операция: сложение, Число: 1,00, Результат: 2,00 (BIN: 10, OCT: 2, DEC: 2, HEX: 2)
Операция: сложение, Число: 1,00, Результат: 3,00 (BIN: 11, OCT: 3, DEC: 3, HEX: 3)
Операция: сложение, Число: 1,00, Результат: 4,00 (BIN: 100, OCT: 4, DEC: 4, HEX: 4)
Операция: сложение, Число: 1,00, Результат: 5,00 (BIN: 101, OCT: 5, DEC: 5, HEX: 5)
Операция: сложение, Число: 1,00, Результат: 6,00 (BIN: 110, OCT: 6, DEC: 6, HEX: 6)
Операция: сложение, Число: 1,00, Результат: 7,00 (BIN: 111, OCT: 7, DEC: 7, HEX: 7)
Операция: сложение, Число: 1,00, Результат: 8,00 (BIN: 1000, OCT: 10, DEC: 8, HEX: 8)
Операция: сложение, Число: 1,00, Результат: 9,00 (BIN: 1001, OCT: 11, DEC: 9, HEX: 9)
Операция: сложение, Число: 1,00, Результат: 10,00 (BIN: 1010, OCT: 12, DEC: 10, HEX: A)
Операция: вычитание, Число: 2,00, Результат: 8,00 (BIN: 1000, OCT: 10, DEC: 8, HEX: 8)
Операция: вычитание, Число: 3,00, Результат: 5,00 (BIN: 101, OCT: 5, DEC: 5, HEX: 5)
Операция: вычитание, Число: 10,00, Результат: -5,00 (BIN: 11111111111111111111111111111011, OCT: 37777777773, DEC: -5, HEX: FFFFFFFB)
Операция: вычитание, Число: 15,00, Результат: -20,00 (BIN: 11111111111111111111111111101100, OCT: 37777777754, DEC: -20, HEX: FFFFFFEC)
Операция: вычитание, Число: 30,00, Результат: -50,00 (BIN: 11111111111111111111111111001110, OCT: 37777777716, DEC: -50, HEX: FFFFFFCE)
Операция: вычитание, Число: 10000000000000,00, Результат: -10000000000050,00 (BIN: 10000000000000000000000000000000.-9997852516402,0000, OCT: 20000000000.-9997852516402,0000, DEC: -2147483648.-9997852516402,0000, HEX: 80000000.-9997852516402,0000)
Операция: вычитание, Число: 1000000000000,00, Результат: -11000000000050,00 (BIN: 10000000000000000000000000000000.-10997852516402,0000, OCT: 20000000000.-10997852516402,0000, DEC: -2147483648.-10997852516402,0000, HEX: 80000000.-10997852516402,0000)
Операция: вычитание, Число: 102010201020120200000,00, Результат: -102010212020120200000,00 (BIN: 10000000000000000000000000000000.-102010212017972720000,0000, OCT: 20000000000.-102010212017972720000,0000, DEC: -2147483648.-102010212017972720000,0000, HEX: 80000000.-102010212017972720000,0000)
